id,year,area,sp_area,day,body,alternatives,answer
01I,2019,LC - Linguagens e Códigos,Inglês,D1,"Questão 01  
If children live with criticism, they learn to condemn. 
If children live with fear, they learn to be apprehensive. 
If children live with pity, they learn to feel sorry for themselves. 
If children live with ridicule, they learn to feel shy. 
If children live with tolerance, they learn patience. 
If children live with praise, they learn appreciation. 
If children live with acceptance, they learn to love. 
If children live with approval, they learn to like themselves. 
If children live with recognition, they learn it is good to 
have a goal. 
If children live with sharing, they learn generosity. 
If children live with fairness, they learn justice. 
If children live with kindness and consideration, they 
learn respect. 
If children live with friendliness, they learn the world is a 
nice place in which to live.
Valores culturais de um povo revelam sua forma de ser, 
agir e pensar. Na concepção da autora, as diferentes 
formas de educar crianças nos Estados Unidos 
confirmam que as crianças","
A temem quem as amedronta.
B aprendem com o que vivem.
C amam aqueles que as aceitam.
D são gentis quando respeitadas.
E ridicularizam quem as intimida.",B
02I,2019,LC - Linguagens e Códigos,Inglês,D1,"Questão 02  
5 Ways Pets Can Improve Your Health
 A pet is certainly a great friend. After a difficult day, 
pet owners quite literally feel the love.
In fact, for nearly 25 years, research has shown that 
living with pets provides certain health benefits. Pets help 
lower blood pressure and lessen anxiety. They boost our 
immunity. They can even help you get dates.
Allergy Fighters: A growing number of studies have 
suggested that kids growing up in a home with “furred 
animals” will have less risk of allergies and asthma.
Date Magnets: Dogs are great for making love 
connections. Forget Internet matchmaking — a dog is a 
natural conversation starter.
Dogs for the Aged: Walking a dog or just caring for 
a pet — for elderly people who are able — can provide 
exercise and companionship.
Good for Mind and Soul: Like any enjoyable activity, 
playing with a dog can elevate levels of serotonin and 
dopamine — nerve transmitters that are known to have 
pleasurable and calming properties.
Good for the Heart: Heart attack patients who have 
pets survive longer than those without, according to 
several studies.
Ao discutir sobre a influência de animais de estimação no 
bem-estar do ser humano, a autora, a fim de fortalecer 
seus argumentos, utiliza palavras e expressões como 
research, a growing number of research e several 
studies com o objetivo de","
A mostrar que animais de estimação ajudam na cura de doenças como alergias e asma.
B convencer sobre os benefícios da adoção de animais de estimação para a saúde.
C fornecer dados sobre os impactos de animais de estimação nas relações amorosas.
D explicar como o contato com animais de estimação pode prevenir ataques cardíacos.
E esclarecer sobre o modo como idosos devem se relacionar com animais de estimação.",B
03I,2019,LC - Linguagens e Códigos,Inglês,D1,"Questão 03  
Descrição do cartum: Uma professora e seus 
alunos estão em uma sala de aula. Na lousa, está 
escrito: “Back to school! Miss Idler”. Dois meninos 
seguram um livro e, desconfiado, um deles olha 
para o colega e pergunta: “Pssst. How do you turn 
this thing on?”.
No cartum, o estudante faz uma pergunta usando turn 
this thing on por","
A suspeitar que o colega está com seu material por engano.
B duvidar que o colega possa se tornar um  bom aluno.
C desconfiar que o livro levado é de outra matéria.
D entender como desligada a postura do colega.
E desconhecer como usar um livro impresso.",E
04I,2019,LC - Linguagens e Códigos,Inglês,D1,"Questão 04  
LETTER TO THE EDITOR: Sugar fear-mongering unhelpful
By The Washington Times Tuesday, June 25, 2013
In his recent piece “Is obesity a disease?” 
(Web, June 19), Dr. Peter Lind refers to high-fructose 
corn syrup and other “manufactured sugars” as “poison” 
that will “guarantee storage of fat in the body.” 
Current scientific research strongly indicates that obesity 
results from excessive calorie intake combined with a 
sedentary lifestyle. The fact is Americans are consuming 
more total calories now than ever before. According to 
the U.S. Department of Agriculture, our total per-capita 
daily caloric intake increased by 22 percent from 
2,076 calories per day in 1970 to 2,534 calories per day 
in 2010 — an additional 458 calories, only 34 of which 
come from increased added sugar intake. A vast majority 
of these calories come from increased fats and flour/
cereals. Surprisingly, the amount of caloric sweeteners 
(i.e. sugar, high-fructose, corn syrup, honey, etc.). 
Americans consume has actually decreased over the 
past decade. We need to continue to study the obesity 
epidemic to see what more can be done, but demonizing 
one specific ingredient accomplishes nothing and raises 
unnecessary fears that get in the way of real solutions.
JAMES M. RIPPE
Shrewsbury, Mass.
Ao abordar o assunto “obesidade”, em uma seção de 
jornal, o autor","
A defende o consumo liberado de açúcar.
B aponta a gordura como o grande vilão da saúde.
C demonstra acreditar que a obesidade não é preocupante.
D indica a necessidade de mais pesquisas sobre o assunto.
E enfatiza a redução de ingestão de calorias pelos americanos.",D
05I,2019,LC - Linguagens e Códigos,Inglês,D1,"Questão 05  
In this life
Madonna
Sitting on a park bench 
Thinking about a friend of mine 
He was only twenty-three 
Gone before he had his time. 
It came without a warning 
Didnꞌt want his friends to see him cry 
He knew the day was dawning 
And I didnꞌt have a chance to say goodbye.
a canção, muitas vezes, é uma forma de manifestar 
sentimentos e emoções da vida cotidiana. Por exemplo, 
o sofrimento retratado nessa canção foi causado","
A pela morte precoce de um amigo jovem.
B pelo término de um relacionamento amoroso.
C pela mudança de um amigo para outro país.
D pelo fim de uma amizade de mais de vinte anos.
E pela traição por parte de pessoa próxima.",A
01E,2019,LC - Linguagens e Códigos,Espanhol,D1,"Questão 01  
Millennials: Así es la generación que ya no recuerda 
cómo era el mundo sin Internet
Algunos los llaman generación Y, otros “Millennials”, 
generación del milenio o incluso “Echo Boomers”.
Nacieron y crecieron en una era de rápido desarrollo 
de las nuevas tecnologías, y casi no recuerdan cómo 
era el mundo sin Internet.
Son idealistas, impacientes y están bien preparados 
académicamente. 
Muchos de ellos han tenido 
oportunidad de viajar por el mundo a una edad temprana, 
de estudiar en las mejores universidades y de trabajar 
en empresas multinacionales y extranjeras.
La generación Y se compone de este tipo de personas 
que quieren todo a la vez. No están dispuestos a soportar 
un trabajo poco interesante y rutinario, no quieren dejar 
las cosas buenas para luego. Lo que sí quieren es dejar 
su huella en la historia, vivir una vida interesante, formar 
parte de algo grande, crecer y desarrollarse, cambiar el 
mundo que les rodea, y no solo ganar dinero.
O texto aponta características e interesses da “Geração Y”. 
Nele, a expressão dejar su huella refere-se a um dos 
desejos dessa geração, que é o de","
A conhecer diferentes lugares.
B fazer a diferença no mundo.
C aproveitar todas as oportunidades.
D obter uma formação acadêmica de excelência.
E conquistar boas colocações no mundo do trabalho.",B
02E,2019,LC - Linguagens e Códigos,Espanhol,D1,"Questão 02  
El Hombre Electrónico
¿Cuántas veces has cambiado de móvil? ¿Cuántos 
ordenadores has tenido ya? ¿Tienes cámara digital, 
IPOD, Nintendo Wii y televisión de pantalla de plasma? 
Ordenadores, teléfonos móviles, GPS, walkmans, 
televisiones, lavadoras, tostadores, aspiradores y un 
larguísimo etcétera. Todos usamos aparatos eléctricos 
que tarde o temprano se convertirán en residuos.  
El Hombre Electrónico mide 7 metros de altura y pesa 
3,3 toneladas. Es una escultura hecha con la cantidad 
de residuos eléctricos y electrónicos que un ciudadano 
medio (en el Reino Unido) tirará a la basura a lo largo 
de su vida, si se sigue consumiendo este tipo de 
productos al ritmo actual. El Hombre Electrónico ha 
sido diseñado por el escultor Paul Bomini con objetivo 
de aumentar la conciencia de los ciudadanos a la hora 
de consumir aparatos eléctricos. Esta campaña parte de 
la base de que todos compramos aparatos electrónicos 
como herramientas de trabajo u ocio, pero haciéndonos 
unas cuantas preguntas podemos inducir cambios en 
nuestro comportamiento que beneficiarán al medio 
ambiente, otras personas y a nosotros mismos: ¿Tienes 
algún aparato eléctrico o electrónico que no necesitas? 
¿Podrías ser más responsable a la hora de comprar un 
nuevo producto electrónico? ¿Podrías reciclar o reparar 
estos productos una vez que se han quedado obsoletos o 
se han roto? ¿Intentas ahorrar energia en tu vida diaria?
Considerando a necessidade de assumir uma conduta 
mais responsável com o meio ambiente, Paul Bomini 
criou a escultura O homem eletrônico para","
A incentivar inovações em reciclagem para a construção de máquinas.
B propor a criação de objetos a partir de aparelhos descartados.
C divulgar o lançamento de produtos eletrônicos sustentáveis.
D problematizar o descarte inconsequente de equipamentos.
E alertar sobre as escolhas tecnológicas da população.",D
03E,2019,LC - Linguagens e Códigos,Espanhol,D1,"Questão 03  
Adelfos
Yo soy como las gentes que a mi tierra vinieron
— soy de la raza mora, vieja amiga del sol —,
que todo lo ganaron y todo lo perdieron.
Tengo el alma de nardo del árabe español.
Nessa estrofe, o poeta e dramaturgo espanhol Manuel 
Machado reflete acerca","
A de sua formação identitária plural.
B da condição nômade de seus antepassados.
C da perda sofrida com o processo de migração.
D da dívida do povo espanhol para com o povo árabe.
E de sua identificação com os elementos da natureza.",A
04E,2019,LC - Linguagens e Códigos,Espanhol,D1,"Questão 04  
 Que hay de cierto en la fábula de la cigarra y la hormiga
Cuenta una conocida fábula que, tras pasar todo 
un verano cantando y ociosa, una cigarra se encontró 
sin alimento y decidió pedir a su vecina, la hormiga algo 
que llevarse a la boca. Esta le ofreció granos de arroz 
acompañados de una moraleja: más vale prevenir que 
lamentar. ¿Merecen su fama de previsoras y afanosas 
las hormigas? Sin duda. Las hormigas cortadoras de 
hojas (Atta cephalotes), por ejemplo, son consideradas 
las primeras agricultoras del planeta, dedicadas a cortar, 
acarrear e integrar hojas en el jardín de hongos del que 
se alimentan. Otro dato curioso es que se ha comprobado 
que, prácticamente en todas las especies de hormigas, 
las más ancianas asumen trabajos de mayor riesgo. 
De acuerdo con Dawid Moron de la Universidad de 
Jagiellonian (Polonia), esto se debe a que es mejor para 
la colonia sacrificar una vida que está cerca de su fin 
que a un individuo joven.
En cuanto a las cigarras, no se les puede acusar de 
perezosas. Lo que sí es cierto es que los machos pasan 
el verano “cantando” — un sonido que producen con 
unas membranas llamadas timbales — y encaramados 
a un árbol, de cuya savia se alimentan.
 A fábula é um gênero de ampla divulgação 
frequentemente revisitado com diversos objetivos.  
No texto, a fábula A cigarra e a formiga é retomada para","
A apresentar ao leitor um ensinamento moral.
B reforçar o estereótipo associado às cigarras.
C descrever o comportamento dos insetos na natureza.
D expor a superioridade das formigas em relação às cigarras.
E descrever a relação social entre formigas e cigarras na natureza.",C
05E,2019,LC - Linguagens e Códigos,Espanhol,D1,"Questão 05  
Empanada
Jano Antrix
Overa en bayo claro, 
vaquilla echada, 
eres del vino tinto 
la camarada.
[...]
Vienes llena de pino, 
cebolla y carne, 
con pasas, huevo duro, 
y aliño de hambre. 
Con el primer mordisco 
por una oreja, 
se abre tu boca ardiente 
como sorpresa. 
Te la lleno de pebre 
quedas picante 
si te beso muy fuerte, 
no me reclames. 
Busco, loco, en tu vientre, 
delicia oscura, 
la traición exquisita 
de tu aceituna.
[...]
Y repite el ataque 
por andanadas: 
Nadie queda con hambre 
si hay empanadas.
 gastronomia é uma das formas de expressão cultural  
de um povo. Nesse poema, ao personificar as 
empanadas, o escritor chileno Antrix","
A enaltece esse prato da culinária hispânica.
B descreve algumas etapas de preparação dessa receita.
C destaca a importância do vinho na alimentação hispânica.
D resgata o papel histórico desse alimento em tempos de fome.
E evidencia a relevância de alguns condimentos  na cozinha hispânica.",A
