id,year,area,sp_area,day,body,alternatives,answer,GPT-3.5-turbo-answers,GEMINI_2023_answers
01I,2023,LC - Linguagens e Códigos,Inglês,D1,"QUESTÃO 01  
No man is an island,
Entire of itself;
Every man is a piece of the continent,
 A part of the main.
[...]
Any man’s death diminishes me,
Because I am involved in mankind.
Nesse poema, a expressão “No man is an island ” ressalta o(a)
","
A medo da morte.
B ideia de conexão.
C conceito de solidão.
D risco de devastação.
E necessidade de empatia.",B,B,B
02I,2023,LC - Linguagens e Códigos,Inglês,D1,"QUESTÃO 02  
Things We Carry on the Sea
We carry tears in our eyes: good-bye father, good-bye mother
We carry soil in small bags: may home never fade in our hearts
We carry carnage of mining, droughts, floods, genocides
We carry dust of our families and neighbors incinerated in mushroom clouds
We carry our islands sinking under the sea
We carry our hands, feet, bones, hearts and best minds for a new life
We carry diplomas: medicine, engineer, nurse, education, math, poetry, even if they mean nothing to the other shore
We carry railroads, plantations, laundromats, bodegas, taco trucks, farms, factories, nursing homes, hospitals, schools, temples... built on our ancestors’ backs
We carry old homes along the spine, new dreams in our chests
We carry yesterday, today and tomorrow
We’re orphans of the wars forced upon us
We’re refugees of the sea rising from industrial wastes
And we carry our mother tongues
[...]
As we drift... in our rubber boats... from shore... to shore... to shore...
Ao retratar a trajetória de refugiados, o poema recorre à imagem de viagem marítima para destacar o(a)
","
A risco de choques culturais.
B impacto do ensino de história.
C importância da luta ambiental.
D existência de experiências plurais.
E necessidade de capacitação profissional.",D,D,D
03I,2023,LC - Linguagens e Códigos,Inglês,D1,"QUESTÃO 03  
Descrição do cartaz: Foto de parte de um lixão, com 
a frase “Food for thought” escrita entre sacos de lixo 
e restos de alimentos. Abaixo da foto, o texto: “The 
average American tosses 300 pounds of food each year, 
making food the number one contributor to America’s 
landfills. Eat your leftlovers and keep your perishables 
in the fridge – the Earth is counting on it”.
The average american tosses 300 pounds of food
each year, making food the number one contributor to 
America’s landfills. Eat your leftovers and keep your 
perishables in the fridge – the Earth is counting on it.
Esse cartaz de campanha sugere que
","
A os lixões precisam de ampliação. 
B o desperdício degrada o ambiente.
C os mercados doam alimentos perecíveis. 
D a desnutrição compromete o raciocínio. 
E as residências carecem de refrigeradores.",B,B,B
04I,2023,LC - Linguagens e Códigos,Inglês,D1,"QUESTÃO 04  
Descrição do cartum: Em um escritório, dois homens 
circulam segurando papéis e pastas, outros conversam 
em pares, e um está trabalhando em um computador. 
Todos têm as mesmas feições e características físicas 
e usam ternos, gravatas e sapatos iguais. Abaixo da 
imagem, o texto: “Oh, you’ll love working here. Nobody 
treats you any differently just because of your age, 
race, or gender”.
“Oh, you’ll love working here. Nobody treats you any 
differently just because of your age, race, or gender.”
Ao retratar o ambiente de trabalho em um escritório, esse cartum tem por objetivo
","
A criticar um padrão de vestimenta.
B destacar a falta de diversidade.
C indicar um modo de interação.
D elogiar um modelo de organização.
E salientar o espírito de cooperação.",B,B,B
05I,2023,LC - Linguagens e Códigos,Inglês,D1,"QUESTÃO 05  
Spanglish (fragmento)
Tato Laviera
pues estoy creando Spanglish 
bi-cultural systems 
scientific lexicographical 
inter-textual integrations 
two expressions 
existentially wired 
two dominant languages 
continentally abrazándose 
in colloquial combate 
imperio spanglish emerges 
sobre territorio bi-lingual 
las novelas mexicanas 
mixing with radiorocknroll 
immigrant/migrant 
nasal mispronouncements 
hip-hop, street salsa, spanish pop 
standard english classroom 
with computer technicalities 
spanglish is literally perfect
Nesse poema de Tato Laviera, o eu lírico destaca uma
","
A convergência linguístico-cultural.
B característica histórico-cultural.
C tendência estilístico-literária.
D discriminação cultural.
E censura musical.",A,A,A
01E,2023,LC - Linguagens e Códigos,Espanhol,D1,"QUESTÃO 01  
Técnicas de manipulación y el resultado
Manipular es sembrar en la conciencia y en la mente 
de la gente ideas, actitudes, conceptos y aspiraciones 
— incluso falsas e inmorales — que sirvan a los objetivos 
de sus manipuladores.
Manipular es una de las primeras cosas que 
aprendemos en la vida. A muy temprana edad, los bebés 
descubren el poder del llanto, el berrinche, los pataleos, 
la risa o alguna “gracia” como recursos para demandar 
atención, exigir comida, pedir ayuda o simplemente 
mantener ocupada a la gente. Nuestras actitudes de 
adultos reflejan lo mucho o poco que algunos maduraron, 
procesaron y rebasaron ese periodo.
Para que exista un manipulador, debe haber una 
base de ciudadanos indefensos, dóciles, desinformados. 
El manipulador es celoso, a veces casi paranoico; 
no admite cuestionamientos ni quiere que nadie ocupe 
su espacio, sabe que su vigencia depende de presencia 
controladora. Todos los días, hay que marcar la línea de 
discurso, incidir en el debate. El ridículo vale la pena si 
con ello se logra una cortina de humo.
Nesse texto, a expressão “cortina de humo” revela que o manipulador
","
A amadurece tardiamente.
B busca mascarar a verdade.
C rejeita questionamentos alheios.
D aproxima-se de pessoas indefesas.
E faz-se presente de forma controladora.",B,B,B
02E,2023,LC - Linguagens e Códigos,Espanhol,D1,"QUESTÃO 02  
TEXTO 1
Descrição do cartaz: Foto de um homem com o 
corpo inclinado para frente, na altura de um menino, 
olhando em seus olhos. Ambos estão sorrindo. Entre 
eles, há o desenho de um disco voador e, acima, um 
texto apresentado com letras maiúsculas, exceto a 
palavra “porqué”, que ora é escrita com algumas letras 
maiúsculas, ora com algumas letras minúsculas: “¿QUÉ 
ME PASA?: ¿PorQUÉ ME CUESTA TANTO ESTUDIAR? 
¿pORQUÉ ME CUESTA TANTO CONCENTRARME? 
¿PoRQUÉ... ¿pORQUÉ... ¿PORQUé NO CONSIGO 
APRENDER COMO LOS DEMÁS?”.
TEXTO 2
Ishaan Awashi es un niño de 8 años cuyo mundo está 
plagado de maravillas que nadie más parece apreciar: 
colores, peces, perros y cometas, que simplemente no son 
importantes en la vida de los adultos, que parecen más 
interesados en cosas como los deberes, las notas o la 
limpieza. E Ishaan parece no poder hacer nada bien en clase. 
Cuando los problemas que ocasiona superan a sus padres, 
es internado en un colegio para que le disciplinen. Las cosas 
no mejoran en el nuevo colegio, donde Ishaan tiene además 
que aceptar estar lejos de sus padres. Hasta que un día, 
el nuevo profesor de arte, Ram Shankar Nikumbh, entra en 
escena, se interesa por el pequeño Ishaan y todo cambia.
O filme Como estrellas en la tierra aborda o tema da 
dislexia. Relacionando o cartaz do filme com a sinopse, 
constata-se que o(a)
","
A olhar diferenciado para com o outro gera mudanças.
B estudante com dislexia apresenta um tom questionador.
C abordagem para lidar com a dislexia é pautada na disciplina.
D contato com os pais prejudica o acompanhamento da dislexia.
E mudança de interesses ocorre na transição da infância para a vida adulta.",A,A,A
03E,2023,LC - Linguagens e Códigos,Espanhol,D1,"QUESTÃO 03  
Que quede claro
Orishas 
Cómo es posible que se cierren
tantas bocas, tantos ojos,
tantas puertas, muchas mentes ante un
acto xenofóbico sin precedentes.
Presidentes, ministros, cancilleres,
autoridades, responsables.
¿Quién pagará el daño causado a familiares?
Por un loco del estrada sin modales. [...]
Se alejó de aquel lugar donde su color era
mucho más que su color, era su raza.
Persiguiendo un sueño que desapareció,
que se fusionó y terminó en una pesadilla. [...]
Déjame que te cuente esta historia
que sucedió en el metro de Barcelona,
cuando aquella mañana la injusticia
y xenofobia se juntaron de la mano,
protagonizando una de las más feas escenas de racismo.
En aquel vagón viajaba un ángel de color diferente,
en su camino se interpuso aquel inconsciente,
que aún sabiendo lo que hacía,
seguía hablando con su gente.
Le dio al ángel dos patadas en su cara,
se rió de ella sin cambiar la mirada.
Y aún anda suelto, aún anda suelto...
 A letra da canção Que quede claro, da banda cubana Orishas, revela o(a)
","
A indignação diante do desrespeito à diversidade.
B violência característica das grandes metrópoles.
C preconceito da sociedade com relação ao misticismo.
D descuido da população com os sonhos dos imigrantes.
E falta de segurança existente no transporte público urbano.",A,A,A
04E,2023,LC - Linguagens e Códigos,Espanhol,D1,"QUESTÃO 04  
Shirley Campbell Barr
Me niego rotundamente
 A negar mi voz,
Mi sangre y mi piel.
Y me niego rotundamente
 A dejar de ser yo,
 A dejar de sentirme bien
Cuando miro mi rostro en el espejo
Con mi boca
Rotundamente grande,
Y mi nariz
Rotundamente hermosa,
Y mis dientes
Rotundamente blancos,
Y mi piel valientemente negra.
Y me niego categóricamente
 A dejar de hablar
Mi lengua, mi acento y mi historia.
Y me niego absolutamente
 A ser parte de los que callan,
De los que temen,
De los que lloran.
Porque me acepto
Rotundamente libre,
Rotundamente negra,
Rotundamente hermosa.
Para enfatizar características e atitudes que reforçam 
a identidade da mulher negra, o poema da escritora 
costarriquenha apresenta
","
A advérbios como “rotundamente” e “categóricamente”.
B verbos reflexivos como “me niego” e “me acepto”.
C adjetivos como “grande” e “hermosa”.
D substantivos como “sangre” e “piel”.
E adjetivos possessivos como “mi” e “mis”.",A,C,A
05E,2023,LC - Linguagens e Códigos,Espanhol,D1,"QUESTÃO 05  
“Caramelos” en sus suelos
Mágdalo Quiroz y López
Las tierras de España, tu vista enamoran; 
sus gentes; te amistan; ¿“cocinas”?, ¡“te molan”!
¿El plato común?, ¡pues «tortilla/patatas»!; 
en bares, figones, o tascas, ¡las «tapas»!; 
“sabor nacional”, ¡el «gazpacho», sus «vinos», 
«sangría», y «jamón» de sabrosos cochinos! 
(Cual “sellos”, te grabas sus «Típicos Platos»; 
¡sabrás por dó pasas, por sólo tu olfato!, 
¡si en cada lugar, un sabor peculiar, 
“al paso” cautiva tu buen paladar!).
¡Son más que “recetas”!, ¡será “alegoría”!, 
¡será “identidad”! (¡hay “reserva” en su «Guía»!); 
son platos allende un “timón conductor”, 
¡son mar, ríos, sierras!, ¡son valles, son flor!, 
¡y aportan “Conventos” a gastronomía, 
sus «dulces»! (sabor “celestial”, ¡de ambrosía!).
Nesse poema, o eu poético enaltece a
","
A característica amistosa do povo espanhol.
B beleza das paisagens naturais da Espanha.
C variedade de pratos na gastronomia espanhola.
D relação entre os sentidos do paladar e do olfato na gastronomia.
E gastronomia como representação da identidade cultural de um povo.",E,E,E
